Width,Height,Label
0.625,0.19696969696969696,car
0.5797872340425532,0.1111111111111111,fish
0.4015957446808511,0.35353535353535354,house
0.3723404255319149,0.6212121212121212,tree
0.5026595744680851,0.2878787878787879,bicycle
0.5452127659574468,0.48484848484848486,guitar
0.19414893617021275,0.6111111111111112,pencil
0.5691489361702128,0.4898989898989899,clock
0.6303191489361702,0.2222222222222222,car
0.4867021276595745,0.12626262626262627,fish
0.4574468085106383,0.3813131313131313,house
0.5611702127659575,0.6691919191919192,tree
0.5930851063829787,0.3005050505050505,bicycle
0.5797872340425532,0.5227272727272727,guitar
0.4095744680851064,0.494949494949495,pencil
0.48138297872340424,0.44696969696969696,clock
0.6143617021276596,0.2727272727272727,car
0.3617021276595745,0.13131313131313133,fish
0.5452127659574468,0.40404040404040403,house
0.7898936170212766,0.7297979797979798,tree
0.3617021276595745,0.28535353535353536,bicycle
0.18351063829787234,0.4621212121212121,guitar
0.026595744680851064,0.5378787878787878,pencil
0.27393617021276595,0.2601010101010101,clock
0.598404255319149,0.3005050505050505,car
0.5691489361702128,0.17424242424242425,fish
0.6223404255319149,0.5883838383838383,house
0.6037234042553191,0.5606060606060606,tree
0.5611702127659575,0.37626262626262624,bicycle
0.75,0.25,guitar
0.03723404255319149,0.2727272727272727,pencil
0.875,0.8055555555555556,clock
0.5877659574468085,0.37626262626262624,car
0.4308510638297872,0.1994949494949495,fish
0.625,0.6136363636363636,house
0.7579787234042553,0.6944444444444444,tree
0.4148936170212766,0.23737373737373738,bicycle
0.25,0.7095959595959596,guitar
0.05319148936170213,0.7348484848484849,pencil
0.8537234042553191,0.7297979797979798,clock
0.4308510638297872,0.13131313131313133,car
0.526595744680851,0.15404040404040403,fish
0.8218085106382979,0.6136363636363636,house
0.7553191489361702,0.8131313131313131,tree
0.5079787234042553,0.30303030303030304,bicycle
0.3324468085106383,0.8939393939393939,guitar
0.7287234042553191,0,pencil
0.6595744680851063,0.6085858585858586,clock
0.7606382978723404,0.31313131313131315,car
0.7872340425531915,0.4015151515151515,fish
0.7526595744680851,0.7626262626262627,house
0.723404255319149,0.946969696969697,tree
0.6409574468085106,0.5,bicycle
0.7872340425531915,0.6363636363636364,guitar
0.6462765957446809,0.7171717171717171,pencil
0.5478723404255319,0.5277777777777778,clock
0.8031914893617021,0.31565656565656564,car
0.4175531914893617,0.22474747474747475,fish
0.3191489361702128,0.5833333333333334,house
0.4015957446808511,0.5378787878787878,tree
0.3803191489361702,0.26262626262626265,bicycle
0.34574468085106386,0.6641414141414141,guitar
0.2925531914893617,0.6388888888888888,pencil
0.48404255319148937,0.45454545454545453,clock
0.8377659574468085,0.45454545454545453,car
0.35904255319148937,0.5732323232323232,fish
0.43617021276595747,0.5858585858585859,house
0.5851063829787234,0.6515151515151515,tree
0.5319148936170213,0.1717171717171717,bicycle
0.3723404255319149,0.6388888888888888,guitar
0.14893617021276595,0.5909090909090909,pencil
0.31648936170212766,0.3686868686868687,clock
0.6436170212765957,0.17676767676767677,car
0.18617021276595744,0.06818181818181818,fish
0.30851063829787234,0.2878787878787879,house
0.3324468085106383,0.3484848484848485,tree
0.47606382978723405,0.2828282828282828,bicycle
0.21808510638297873,0.14393939393939395,guitar
0.39361702127659576,0.045454545454545456,pencil
0.2473404255319149,0.25757575757575757,clock
0.8138297872340425,0.4823232323232323,car
0.5957446808510638,0.5151515151515151,fish
0.5930851063829787,0.6313131313131313,house
0.6648936170212766,0.8005050505050505,tree
0.8058510638297872,0.5404040404040404,bicycle
0.6888297872340425,0.7222222222222222,guitar
0.5904255319148937,0.6515151515151515,pencil
0.4228723404255319,0.4671717171717172,clock
0.648936170212766,0.23737373737373738,car
0.6542553191489362,0.09343434343434344,fish
0.7313829787234043,0.6717171717171717,house
